,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
52,2017-2078,2017-07-11,1,Vente,138000.0,,,AU PEROUX,B133,1190.0,1016,Arbigny,1,,,01016000AB0210,,,,,,,,,,,,,0,,,,,T,terres,,,178.0,4.960879,46.470037
53,2017-2112,2017-07-13,1,Vente,240000.0,62.0,,RUE DE LA CHAMBIERE,750,1000.0,1053,Bourg-en-Bresse,1,,,01053000AB0342,,,116,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.218733,46.209633
54,2017-2146,2017-07-31,1,Vente,17550.0,,,LES PERNAYES,B102,1310.0,1301,Polliat,1,,,013010000A1382,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,2660.0,5.156073,46.270493
55,2017-2185,2017-07-27,1,Vente,192500.0,5317.0,,EN FIN,B058,1370.0,1241,Meillonnas,1,,,01241000ZE0265,,,,,,,,,,,,,0,1.0,Maison,92.0,5.0,S,sols,,,788.0,5.348997,46.239748
56,2017-2236,2017-08-17,1,Vente,75300.0,3.0,,IMP MOLIERE,2680,1000.0,1053,Bourg-en-Bresse,1,,,01053000AP0077,,,35,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.231197,46.190262
57,2017-2285,2017-08-31,1,Vente,189000.0,21.0,,RUE LITTRE,2320,1000.0,1053,Bourg-en-Bresse,1,,,01053000BC0127,,,,,,,,,,,,,0,1.0,Maison,145.0,5.0,S,sols,,,324.0,5.22969,46.203109
58,2017-2325,2017-08-10,1,Vente,34000.0,,,BOUCHE RATTE,B026,1560.0,1364,Saint-Jean-sur-Reyssouze,1,,,013640000B0251,,,,,,,,,,,,,0,,,,,J,jardins,,,503.0,5.089084,46.379803
59,2017-2361,2017-08-31,1,Vente,82000.0,,,LES BLANCS D EN HAUT,B018,1851.0,1232,Marboz,1,,,01232000ZE0160,,,,,,,,,,,,,0,,,,,S,sols,,,5.0,5.248372,46.308282
60,2017-2404,2017-09-07,1,Vente,350000.0,,,LES CRUISES,B052,1190.0,1352,Saint-Étienne-sur-Reyssouze,1,,,013520000C0110,,,,,,,,,,,,,0,,,,,P,prés,,,4836.0,5.024683,46.396638
61,2017-2433,2017-09-12,2,Vente,400.0,,,LA MADELEINE NORD EST,B178,1750.0,1320,Replonges,1,,,013200000D4451,,,,,,,,,,,,,0,,,,,J,jardins,,,47.0,,
62,2017-2489,2017-09-13,1,Vente,7940.0,,,LA GRANDE CHINTRE,B067,1370.0,1350,Saint-Étienne-du-Bois,1,,,013500000E0533,,,,,,,,,,,,,0,,,,,P,prés,,,3160.0,5.269358,46.269945
63,2017-2533,2017-09-08,2,Vente,203000.0,5404.0,,LES GAMBY,B040,1380.0,1343,Saint-Cyr-sur-Menthon,1,,,01343000ZN0129,,,,,,,,,,,,,0,1.0,Maison,118.0,4.0,S,sols,,,1450.0,4.95987,46.262088
64,2017-2581,2017-09-07,1,Vente,214600.0,31.0,,RUE HAROUN TAZIEFF,4090,1000.0,1053,Bourg-en-Bresse,1,,,01053000CN0432,,,1,90.0,,,,,,,,,1,1.0,Maison,90.0,4.0,,,,,,5.26598,46.194134
65,2017-2625,2017-09-18,1,Vente,70000.0,26.0,,CHE DES ECOLIERS,16,1340.0,1024,Attignat,1,,,01024000AB0156,,,,,,,,,,,,,0,2.0,Appartement,80.0,1.0,S,sols,,,354.0,5.163299,46.289249
66,2017-2670,2017-10-04,1,Vente,70000.0,,,AUX ECLUSES,B091,1380.0,1025,Bâgé-Dommartin,1,1025.0,Bâgé-la-Ville,010250000E1214,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,3455.0,,
67,2017-2717,2017-09-27,1,Vente,45000.0,,,MONCOIN,B022,1540.0,1291,Perrex,1,,,012910000B1250,,,,,,,,,,,,,0,,,,,S,sols,,,47.0,4.977083,46.238224
68,2017-2762,2017-09-29,2,Echange,11300.0,,,VERNAY NORD,B134,1190.0,1323,Reyssouze,1,,,01323000ZK0294,,,,,,,,,,,,,0,,,,,T,terres,,,371.0,4.913782,46.423774
69,2017-2799,2017-10-09,1,Vente,95000.0,2691.0,,RTE DE VESCOURS,150,1560.0,1388,Saint-Trivier-de-Courtes,1,,,013880000A0549,,,,,,,,,,,,,0,1.0,Maison,75.0,4.0,S,sols,,,1255.0,5.045831,46.466651
70,2017-2841,2017-10-11,1,Vente,600.0,,,LES GRANDS QUARTS,B096,1160.0,1314,Priay,1,,,013140000E0320,,,,,,,,,,,,,0,,,,,VI,vignes,,,564.0,5.291701,46.006197
71,2017-2888,2017-10-16,1,Vente,143390.0,5210.0,,LES HAUTINS,B061,1290.0,1203,Laiz,1,,,012030000C0745,,,,,,,,,,,,,0,1.0,Maison,120.0,4.0,S,sols,,,62.0,4.909158,46.247183
72,2017-2932,2017-10-25,1,Vente,75000.0,,,CROIX COLIN NORD,B082,1750.0,1320,Replonges,1,,,013200000C2818,,,,,,,,,,,,,0,,,,,P,prés,,,898.0,,
73,2017-2981,2017-10-27,1,Vente,1720.33,,,AUX COMBES,B047,1250.0,1184,Hautecourt-Romanèche,1,,,011840000A0506,,,,,,,,,,,,,0,,,,,P,prés,,,1420.0,5.405712,46.167673
74,2017-3027,2017-10-26,1,Vente,270000.0,,,LA CURTILLERE,B014,1340.0,1266,Montrevel-en-Bresse,1,,,012660000C0072,,,,,,,,,,,,,0,,,,,T,terres,,,4740.0,5.09269,46.31154
75,2017-3060,2017-10-20,1,Vente,190322.55,80.0,A,RUE DE LA MARE,121,1310.0,1301,Polliat,1,,,01301000AE0176,,,68,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.13047,46.248338
76,2017-3093,2017-10-27,1,Vente,120000.0,,,CHAMP CATIN,B020,1270.0,1147,Domsure,1,,,01147000ZE0213,,,,,,,,,,,,,0,,,,,S,sols,,,510.0,5.291608,46.444219
77,2017-3141,2017-11-15,1,Vente,402000.0,155.0,,AU COLOMBIER,B044,1250.0,1422,Tossiat,1,,,014220000D1326,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,500.0,5.308954,46.14093
78,2017-3186,2017-11-20,2,Vente,13105.4,,,LA CULEE,B040,1370.0,1038,Bény,1,,,010380000B0421,,,,,,,,,,,,,0,,,,,P,prés,,,2315.0,5.299229,46.316011
79,2017-3225,2017-11-06,1,Vente,86000.0,20.0,,RUE VICTOR BASCH,3710,1000.0,1053,Bourg-en-Bresse,1,,,01053000AD0405,,,4,70.58,,,,,,,,,1,4.0,Local industriel. commercial ou assimilé,52.0,0.0,,,,,,5.2269,46.204211
80,2017-3268,2017-11-23,3,Vente,72500.0,,,LES BLANCS D EN HAUT,B018,1851.0,1232,Marboz,1,,,01232000ZE0167,,,,,,,,,,,,,0,,,,,P,prés,,,41.0,5.249254,46.309596
81,2017-3310,2017-11-22,1,Vente,42000.0,,,BRACANIERE,B005,1340.0,1387,Saint-Sulpice,1,,,013870000A0858,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,1689.0,5.0442,46.318472
82,2017-3350,2017-12-01,1,Vente en l'état futur d'achèvement,209000.0,82.0,B,BD DE BROU,620,1000.0,1053,Bourg-en-Bresse,1,,,01053000AZ0341,,,50,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.231568,46.201409
83,2017-3386,2017-11-24,1,Vente,2011732.0,2.0,,RUE DU MOULIN DE BROU,2740,1000.0,1053,Bourg-en-Bresse,1,,,01053000AY0073,,,24,,7.0,46.06,,,,,,,2,2.0,Appartement,47.0,2.0,,,,,,5.239428,46.199215
84,2017-3414,2017-11-30,1,Vente,25000.0,,,COTES DU CHENE,B030,1160.0,1304,Pont-d'Ain,1,,,01304000AC0121,,,,,,,,,,,,,0,,,,,J,jardins,,,487.0,5.336081,46.052154
85,2017-3447,2017-11-30,1,Vente,163600.0,135.0,,RTE DE TOSSIAT,2,1250.0,1321,Revonnas,1,,,013210000B0059,,,,,,,,,,,,,0,1.0,Maison,85.0,4.0,S,sols,,,266.0,5.329788,46.161535
86,2017-3490,2017-12-19,1,Vente,50000.0,,,SAINT JULIEN,B064,1560.0,1367,Saint-Julien-sur-Reyssouze,1,,,013670000A0750,,,,,,,,,,,,,0,,,,,S,sols,,,7.0,5.109499,46.402496
87,2017-3519,2017-12-29,1,Vente,6209.76,,,LES VIGNES,B218,1560.0,1139,Curciat-Dongalon,1,,,011390000A0271,,,,,,,,,,,,,0,,,,,T,terres,,,7869.0,5.152698,46.491605
88,2017-3548,2017-12-18,1,Vente,85000.0,1.0,,RUE DE L EST,1430,1000.0,1053,Bourg-en-Bresse,1,,,01053000AX0056,,,62,,68.0,61.76,,,,,,,2,2.0,Appartement,62.0,3.0,,,,,,5.240438,46.193446
89,2017-3570,2017-12-19,1,Vente,,,,AU FORNAY,B053,1290.0,1179,Grièges,1,,,01179000ZL0119,,,,,,,,,,,,,0,,,,,T,terres,,,1840.0,4.829814,46.256278
90,2017-3603,2017-12-14,1,Vente,437000.0,,,VERCHERE D ADILLON,B313,1570.0,1159,Feillens,1,,,01159000AI0160,,,,,,,,,,,,,0,,,,,L,landes,,,63.0,4.901756,46.329265
91,2017-3630,2017-12-28,1,Vente,3000.0,,,LA BAISSE,B002,1560.0,1367,Saint-Julien-sur-Reyssouze,1,,,013670000B0152,,,,,,,,,,,,,0,,,,,S,sols,,,1734.0,5.095439,46.408731
92,2017-3672,2017-12-26,1,Vente,78000.0,,,CHARMEIL,B035,1340.0,1024,Attignat,1,,,01024000AD0216,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,771.0,5.160741,46.281056
93,2017-3711,2017-12-27,1,Vente,103000.0,41.0,,BD DE BROU,620,1000.0,1053,Bourg-en-Bresse,1,,,01053000BC0456,,,417,,436.0,72.5,,,,,,,2,2.0,Appartement,73.0,3.0,,,,,,5.23093,46.203716
94,2017-3762,2017-12-20,1,Vente,247000.0,132.0,,GRANDE RUE,60,1190.0,1323,Reyssouze,1,,,01323000AN0005,,,,,,,,,,,,,0,1.0,Maison,166.0,6.0,S,sols,,,980.0,4.922721,46.440675
95,2017-3798,2017-01-09,1,Vente,1790.75,,,L ECOTTET,B074,1640.0,1199,Jujurieux,1,,,011990000B0804,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,256.0,5.398053,46.049943
96,2017-3847,2017-01-03,1,Vente,240000.0,,,SERGY DESSUS,B055,1630.0,1401,Sergy,1,,,014010000B1664,,,,,,,,,,,,,0,,,,,S,sols,,,31.0,5.99284,46.256171
97,2017-3901,2017-01-20,1,Vente,20000.0,160.0,,RUE DES PLANTAGES,82,1170.0,1399,Ségny,1,,,01399000AK0179,,,14,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,6.075153,46.293912
98,2017-3948,2017-01-30,1,Vente,8000.0,,,LES GRANDS BROTTEAUX,B113,1300.0,1338,Groslée-Saint-Benoit,1,,,013380000B0778,,,,,,,,,,,,,0,,,,,BP,peupleraies,,,2793.0,5.601526,45.673302
99,2017-3986,2017-01-11,1,Vente,248000.0,,,SUR CREDETTE,B017,1170.0,1071,Cessy,1,,,01071000AE0162,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,601.0,6.082448,46.320169
